File Name,Year,Month,Day,5,5-baro,5-wind,6,6-baro,6-wind,7,7-baro,7-wind,8,8-baro,8-wind,9,9-baro,9-wind,10,10-baro,10-wind,11,11-baro,11-wind,12,12-baro,12-wind,13,13-baro,13-wind,14,14-baro,14-wind,15,15-baro,15-wind,16,16-baro,16-wind,17,17-baro,17-wind,18,18-baro,18-wind,19,19-baro,19-wind,20,20-baro,20-wind,21,21-baro,21-wind,22,22-baro,22-wind,23,23-baro,23-wind,0,0-baro,0-wind,1,01-baro,01-wind,weather,transcriber comments
Amherstburg_UKN-502_Forts_1851-12_OBS-1,1852,January,11,,,,,,,,,,29.5,23,,,,,,,snowing a little,,,,,,,,,,,,,,,,,,,26,29.6,,,,,18,29.65,,,,,,,snowy,14,29.73,,,,,,,,,,,snowing a little all last night and snowy a little all day wind SW,
Amherstburg_UKN-502_Forts_1851-12_OBS-1,1852,January,12,,,,,,,,,,29.8,8,,,,,,,,15,29.86,,,,,,,,,,,,,,,,,11,29.87,,,,,7,28.83,,,,,,,,5,29.87,,,,,,,,,,,overcast + threatening to snow since 2pm,
Amherstburg_UKN-502_Forts_1851-12_OBS-1,1852,January,13,,,,,,,,,,29.48,7,,18,29.42,"snowing all night, clear",,,,,,,,,,,,,7,29.36,,,,,,,,,,,,,W,,,,,,,,,,13,29.38,,,,,,,,,,,snowing a little [meredose],
Amherstburg_UKN-502_Forts_1851-12_OBS-1,1852,January,14,,,,,,,,,SW,29.05,18,,,,,,,,,,,,,W,33,29,,,,,,,,,,,,,,,,"clear, NW",27,29.06,,,,,,,,,,"snowy, SW",25,29.7,,,,,,,,pleasant all day and snowing since 9pm,
Amherstburg_UKN-502_Forts_1851-12_OBS-1,1852,January,15,,,,,,,,,,,,,,,,23,29.1,,,,,24,29.2,,,,,,,,,,,,,,19,29.37,,,,,,,,14,29.4,,,,,15,29.4,SW,,,,,,,,,,pleasant + light wind all day,
Amherstburg_UKN-502_Forts_1852-01_OBS-2,1852,January,16,,,,,,,,,,29.15,24,,,,,,,,,,,32,29.15,blowing hard + snow drifting W by N,,,,27,29.26,squall gale NW ,,,,24,29.34,,,,,,,,,,,,,,,,,21,29.49,snowy NW,,,,,,,,,,"blowing a stiff gale all day a little snow falling and [daring] to snow thick, 10in snow lying in the bask good [illegible]",
Amherstburg_UKN-502_Forts_1852-01_OBS-2,1852,January,17,,,,,,,,,,29.7,15,,,,,,,,,,,,,,,,,21,29.75,[illegible] sky,18,,,,,,,,,,,,,,,,,,,,,,,,12,29.8,[illegible] NW,,,,,,,[illegible] sky and light wind all day,
Amherstburg_UKN-502_Forts_1852-01_OBS-2,1852,January,18,,,,,,,,,,,,,11,29.75,,,,,,,,,,,,,,,,,,,,12,29.6,[dog sun] NW,8,,,,,,,,,,,,,,,,,,8,29,,,,,,,,,
Amherstburg_UKN-502_Forts_1852-01_OBS-2,1852,January,19,,,,,,,,,,29.8,4,,4,,,,,,,,,,,clear WNW,6,29.89,,,,,5,29.89,,0,,clear,2,,,4,,,,,,8,29,clear,,,,,,,15,30.4,clear W by S,,,,,,,"aurora borealis since 9pm, beautiful  red + white, this is the coldest night Mr.[Taylor] has ever recorded in 12years",
Amherstburg_UKN-502_Forts_1852-01_OBS-2,1852,January,20,,,,,,,,,,29.85,0-Jan,,,,,1,29.79,,3,,,5,29.7,SW,7,29.62,,8,,,,,,,,,10,29.59,clear S by E,,,,,,,8,29.59,,,,,9,29.5,[illegible] W,,,,,,,,,,[illegible] + threatening to snow since 8pm,
Amherstburg_UKN-502_Forts_1852-01_OBS-2,1852,January,21,,,,,,,,,,29.56,11,,,,,,,,,,,21,29.56,overcast W by S,,,,,,,20,29.59,snowing NW,,,,14,29.62,[illegible] NW,,,,,,,,,,,,,,,,6,29.8,[illegible] clear NW,,,,,,,,
Amherstburg_UKN-502_Forts_1852-01_OBS-2,1852,January,22,,,,,,,,,,29.9,6,,,,,,,,16,29.91,overcast SW,,,,,,,12,29.9,clear W by S,,,,,,,16,29.89,SW,,,,,,,12,29.89,SW overcast,,,,,,,29.89,11,,,,,,,,,
Amherstburg_UKN-502_Forts_1852-01_OBS-2,1852,January,23,,,,,,,,,,29.98,14,S,,,1.2 W,,,,,,,,,,,,,,,,23,30,clear S by W,,,,,,,,,,,,,14,30,clear SSW,,,,14,30,,,,,,,,,,,clear + pleasant all day,
Amherstburg_UKN-502_Forts_1852-01_OBS-2,1852,January,24,,,,,,,,,,29.98,20,,,,,,,,,,,,,,,,,,,,,,,35,29.84,clear SW,,,,,,,,,,,,,,,,,,,26,29.54,clear SW,,,,,,,[illegible] wind + clear all day,
Amherstburg_UKN-502_Forts_1852-01_OBS-2,1852,January,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,29.43,[fine] sleet SE,,,,,,,,,,32,29.41,snowing SW,,,,,,,33,29.41,[sleeting] W,,,,,,,,,,,
Amherstburg_UKN-502_Forts_1852-01_OBS-2,1852,January,26,,,,,,,,,,,,,29,29.54,,,,,,,,,,,26,29.59,clear NW,,,,,,,,,,,,,,,,20,29.65,,,,,,,,13,29.65,clear NW,,,,,,,,,,clear all day,
Amherstburg_UKN-502_Forts_1852-01_OBS-2,1852,January,27,,,,,,,,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,35,29.56,clear S by E,,,,,,,,,,,,[illegible] S,,,,,,,26,29.56,overcast S,,,,,,,a ring round the moon at 8pm,
Amherstburg_UKN-502_Forts_1852-01_OBS-2,1852,January,28,,,,,,,,,,29.23,33,overcast SW,,,,,,,40,29.2,clear S by W,,,,,,,,,,,,,,,,44,29.15,clear NW,,,,,,,,,,,,,35,29.37,overcast NW,,,,,,,,,,,
Amherstburg_UKN-502_Forts_1852-01_OBS-3,1852,January,29,,,,,,,36.5,29.5,SE,,,,,,,,,,,,,,,,,,,44,29.51,clear SE,,,,,,,38,29.52,clear SE,,,,,,,,,,,,,33,29.53,cloudy SE by E,,,,,,,,,,,
Amherstburg_UKN-502_Forts_1852-01_OBS-3,1852,January,30,,,,,,,32,29.5,overcast calm,,,,,,,,,,,,,40,29.2,overcast E,,,,,,,,,,,,,35,29.5,[illegible] overcast SE,,,,,,,,,,,,,32,29.5,raining E,,,,,,,,,,raining since 8pm,
Amherstburg_UKN-502_Forts_1852-01_OBS-3,1852,January,31,,,,,,,,,,29.44,30,overcast + sleet raining hard E,,,,,,,,,,32,29.35,calm,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,29.43,high cloudy a few snow W,,,,,,,,,,raining all day till 8pm,
Amherstburg_UKN-502_Forts_1852-01_OBS-3,1852,February,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,29.7,fair W by S,,,,,,,,,,,,,31,29.79,snow NW,,,,,,,raining a little through the day and snowing a little since 9pm; five sundays in this month of [feb],
Amherstburg_UKN-502_Forts_1852-01_OBS-3,1852,February,2,,,,,,,,,,29.85,25,overcast + like snow SW,,,,,,,,,,,,,,,,29,29.86,[illegible] WSW,,,,,,,,,,,,,,,,,,,,,,29,29.8,[illegible] SW,,,,,,,,,,,
Amherstburg_UKN-502_Forts_1852-01_OBS-3,1852,February,3,,,,,,,,,,29.64,26,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,29.45,cloudy S,,,,,,,,,,"river [illegible] at mouth, [illegible] here today",
Amherstburg_UKN-502_Forts_1852-01_OBS-3,1852,February,4,,,,,,,,,,29.3,30,clear S,,,,,,,,,,,,,,,,,,,,,,,,,46,29.36,clear W,,,,,,,40,29.4,clear W,,,,38,illegible,W,,,,,,,,,,,
Amherstburg_UKN-502_Forts_1852-01_OBS-3,1852,February,5,,,,,,,,,,29.41,33,clear with few white clouds SW,,,,,,,41,29.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,29.48,cloudy SE,,,,,,,,,,mostly clear all day,
Amherstburg_UKN-502_Forts_1852-01_OBS-3,1852,February,6,,,,,,,,,,29.4,37,clear partly ESE,,,,,,,41,29.18,overcast,,,,,,,,,,,,,45,29.15,heavy rain,,,,40,29.25,[high] wind W by N,,,,,,,,,,36,29.4,a few cloud flying WNW,,,,,,,,,,a smert wind since 4pm,
Amherstburg_UKN-502_Forts_1852-01_OBS-3,1852,February,7,,,,,,,,,,29.65,37,a few [thick] clouds NW,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,28,29.87,clear NW,,,,,,,,,,clear all day,
Amherstburg_UKN-502_Forts_1852-01_OBS-3,1852,February,8,,,,,,,,,,,,,34,29.9,clear SW,,,,,,,,,,,,,,,,35,29.8,clear SW,,,,,,,28,29.8,clear SW,,,,29.84,clear WNW,,,,,27,29.28,[illegible] clear S by W,,,,,,,,,,,
Amherstburg_UKN-502_Forts_1852-01_OBS-3,1852,February,9,,,,,,,,,,29.6,27,clear SSW ,,,,,,,,,,,,,,,,,,,,,,41,29.55,clear SSE,,,,,,,,,,,,,,,,36,29.38,clear SW,,,,,,,,,,"began to take [illegible] [today], new fire company formed last night",
Amherstburg_UKN-502_Forts_1852-02_OBS-1,1852,February,10,,,,,,,,,,29.45,32,clear SE,,,,,,,,,,,,,,,,,,,37,29.23,"raining, clam",25,29.1,[illegible] SSW,,,,,,,,,,,,,,,,38,28.8,"raining, calm",,,,,,,,,,raining since 12 [illegible],
Amherstburg_UKN-502_Forts_1852-02_OBS-1,1852,February,11,,,,,,,,,,28.95,32,"overcast, stormy, hail WSW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,29.2,"snowy, NW",,,,,,,,,,smert wind + snowy a little all day,
Amherstburg_UKN-502_Forts_1852-02_OBS-1,1852,February,12,,,,,,,,,,29.4,20,light cloudy NNW,,,,,,,,,,,,,,,,,,,28,29.55,clear W by S,,,,,,,,,,,,,,,,,,,23,29.64,overcast W,,,,,,,,,,very like snow,
Amherstburg_UKN-502_Forts_1852-02_OBS-1,1852,February,13,,,,,,,,,,29.45,26,snowing E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,29.73,clear NW,,,,,,,,,,heavy snow from 2 till 7pm; [today] began to clear at 8[pm],
Amherstburg_UKN-502_Forts_1852-02_OBS-1,1852,February,14,,,,,,,,,,29,13,clear SW,,,,,,,,,,,,,27,29.89,clear SSW,,,,,,,,,,,,,,,,,,,,,,,,,25,29.71,clear SW,,,,,,,,,,,
Amherstburg_UKN-502_Forts_1852-02_OBS-1,1852,February,15,,,,,,,,,,,,,,,,,,,,,,,,,32,29.2,snowy SW,,,,,,,,,,,,,,,,,,,,,,,,,25,29.42,clear NW,,,,,,,,,,"snowing from 10 am till 3pm, bright aurora borealis through the evening",
Amherstburg_UKN-502_Forts_1852-02_OBS-1,1852,February,16,,,,,,,,,,29.45,22,overcast SW,,,,,,,,,,,,,,,,,,,,,,,,,22,29.22,snowing NW,,,,,,,,,,,,,14,29.4,overcast,,,,,,,,,,snowing much through the day,
Amherstburg_UKN-502_Forts_1852-02_OBS-1,1852,February,17,,,,,,,,,,29.41,19,lightly snowing SW,,,,,,,32,29.46,clear NW,,,,,,,,,,,,,,,,28,29.5,clear W,,,,,,,,,,,,,18,29.6,[illegible] clear NW,,,,,,,,,,,
Amherstburg_UKN-502_Forts_1852-02_OBS-1,1852,February,18,,,,,,,,,,29.8,15,light wind N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,29.8,clear E,,,,,,,,,,,
Amherstburg_UKN-502_Forts_1852-02_OBS-1,1852,February,19,,,,,,,,,,29.5,6,light cloudy NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,31.8,clear N by W,,,,,,,,,,"from 8 to 10pm, the most splendid aurora borealis that [observer] has ever seen in Canada",
Amherstburg_UKN-502_Forts_1852-02_OBS-1,1852,February,20,,,,,,,,,,30.2,10,light cloud NE,,,,,,,,,,20,30.1,clear NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,30,overcast,,,,,,,,,,"sleighing pretty bad to day [illegible] to the power fall [illegible], looks like more snow",
Amherstburg_UKN-502_Forts_1852-02_OBS-2,1852,February,21,,,,,,,,,,29.8,27,overcast NE,,,,,,,,,,,,,37,29.7,overcast calm,,,,,,,,,,,,,,,,,,,,29.51,raining hard E,29.5,,,,,,29.4,32,,,,,,,,raining since 8pm,
Amherstburg_UKN-502_Forts_1852-02_OBS-2,1852,February,22,,,,,,,,,,,,,34,29.8,rainy,,,,,,,,,,,,,,,,35,28.4,overcast WSW,,,,,,,,,,,,,,,,,,,,,,29.36,31,clear W by S,,,,,,,river broke open this morning,
Amherstburg_UKN-502_Forts_1852-02_OBS-2,1852,February,23,,,,,,,,,,29.28,27,clear SW,,,,35,29.25,cloudy SW,,,,35,29.4,overcast WSW,,,,33,29.08,overcast SW,,,,,,,,,,,,,29,,,,,,,,,29,29.3,"snowing a little, a few [storm] W by S",,,,,,,,,,,
Amherstburg_UKN-502_Forts_1852-02_OBS-2,1852,February,24,,,,,,,,,,28.86,35,raining S,,,,,,,,,,,,,43,28.7,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,28.78,smert wind W by N,,,,,,,heavy wind since 9pm,
Amherstburg_UKN-502_Forts_1852-02_OBS-2,1852,February,25,,,,,,,,,,29.5,32,"clear, high wind NW",,,,,,,,,,,,,,,,,,,,,,,,,,,,27,29.43,[illegible] cloudy NW,,,,,,,,,,24,29.58,a few storm W by N,,,,,,,,,,blowing a gale for 25hours,
Amherstburg_UKN-502_Forts_1852-02_OBS-2,1852,February,26,,,,,,,,,,29.7,15,overcast N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,29.77,clear SW,,,,,,,,,,,
Amherstburg_UKN-502_Forts_1852-02_OBS-2,1852,February,27,,,,,,,,,,29.8,18,clear calm,,,,,,,,,,,,,32,29.75,overcast W,,,,,,,,,,,,,,,,,,,,,,,,,28,29.6,overcast E by N,,,,,,,,,,"snowing all day, blowing a hurricane all evening",
Amherstburg_UKN-502_Forts_1852-02_OBS-2,1852,February,28,,,,,,,,,,29.25,29.5,[just] began to snow NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,29.5,cloudy W by N,,,,,,,,,,,
Amherstburg_UKN-502_Forts_1852-02_OBS-2,1852,February,29,,,,,,,,,,,,,,,,,,,,,,28,29.8,overcast,,,,,,,,,,,,,19,29.7,,,,,,,,,,,,,,18,29.68,overcast,,,,,,,,,,snowing all day,
Amherstburg_UKN-502_Forts_1852-02_OBS-2,1852,March ,1,,,,,,,,,,29.68,19,overcast NE,,,,,,,,,,25,29.6,snowing NE,,,,,,,,,,,,,,,,,,,22,,,,,,,,,19,29.42,overcast NW,,,,,,,,,,,
