Observation date,barometer_7am,barometer_2pm,barometer_9pm,attached_thermometer_7am,attached_thermometer_2pm,attached_thermometer_9pm_0,barometer_corrected_7am,barometer_corrected_2pm,barometer_corrected_9pm,barometer_corrected_mean,open_air_thermometer_7am,open_air_thermometer_2pm,open_air_thermometer_9pm,open_air_thermometer_mean,type_precipitation,rain_and_melted_snow_hour_began,rain_and_melted_snow_hour_ended,rain_and_melted_snow_amount,depth_of_snow,cloud_amount_7am,kind_of_cloud_7am,cloud_velocity_7am,cloud_direction_7am,cloud_amount_2pm,kind_of_cloud_2pm,cloud_velocity_2pm,cloud_direction_2pm,cloud_amount_9pm,kind_cloud_9pm,cloud_velocity_9pm,course_higher_clouds_9pm,wind_direction_7am,wind_force_7am,wind_direction_2pm,wind_force_2pm,wind_direction_9pm,wind_force_9pm,dry_bulb_7am,dry_bulb_2pm,dry_bulb_9pm,wet_bulb_7am,wet_bulb_2pm,wet_bulb_9pm,force_of_vapor_7am,force_of_vapor_2pm,force_of_vapor_9pm,relative_humidity_7am,relative_humidity_2pm,relative_humidity_9pm,max_thermometer_obs,max_thermometer_cor,min_thermometer_obs,min_thermometer_cor,daily_weather_remarks,remarks_7am,remarks_2pm,remarks_9pm,casual_phenomena,casual_phenomena_line_2,casual_phenomena_line_3,casual_phenomena_line_4,casual_phenomena_line_5,,word counts,remarks,,,,CP
1855-09-10,29.421,29.44,29.541,67.8,66,68.8,29.316,29.24,29.433,29.363,60.1,68,61,63.03,,NA,NA,NA,,5,,3,North-West,3,,3,North-West,5,,3,North-West,North-West,3,North-West,2,North-West,2,59.9,67.1,61,55,58.6,56.21,368,377,389,71,57,72,,,,,Very fine weather    Aurora,,,,,,,,,,,,,,,
1855-09-11,29.544,29.54,29.58,64.5,66.1,68.3,29.448,29.44,29.473,29.454,57.1,74,60.5,62.87,,NA,NA,NA,,2,,3,North-West,1,,1,North-West,1,,2,North-West,North-West,2,North-West,2,North-West,2,56.5,70.8,60.5,54.4,61.35,57.2,399,416,425,87,55,81,,,,,Very fine weather    Aurora,,,,,,,,,,,,,,,
1855-09-12,29.594,29.52,29.5,64.9,74,74.1,29.497,29.397,29.376,29.423,61,79,71.1,70.37,,NA,NA,NA,,1,,2,North-West,5,,3,West,1,,1,West,North-West,1,West,4,Empty,0,60.1,78.8,72.6,55.9,66.5,67,393,485,588,75,49,74,,,,,Very fine weather    Aurora,,,,,,,,,,,,,,,
1855-09-13,29.4,29.4,29.563,73.4,77.1,66.5,29.268,29.279,29.462,29.336,70,67.5,55.45,64.32,,1 1/2 P.M.,5 P.M.,0.2,,1,,1,West,10,,3,West,0,,0,Empty,West,1,West,2,North-West,3,69.9,67.25,55.3,67.5,66.5,51.1,639,640,346,88,96,85,,,,,[illegible] in morn. – Shower at 1 1/2 – Cooler – Aurora in [illegible],,,,,,,,,,,,,,,
1855-09-14,29.752,29.821,29.918,60.6,58.2,68,29.668,29.743,29.811,29.741,48.2,54.3,45.95,49.48,,NA,NA,NA,,02-Jan,,Empty,North-West,8,,3,North-North-East,0,,0,Empty,North-West,3,North-North-East,3,North-West,3,48,54.4,45.7,43,47,42,212,224,218,63,52,70,,,,,Beautiful Aurora (at 11 1/2 P.M.) (arch very low),,,,,,,,,,,,,,,
1855-09-15,29.9,29.85,29.85,54.38,63.1,68,29.834,29.758,29.741,29.778,41,61,49,50.33,,NA,NA,NA,,1,,2,South-West,1,,2,South-West,0,,0,[''],South-West,1,South-West,1,South-West,1,39.9,60.9,49.2,38.5,54.44,47,210,339,297,84,63,85,,,,,Frost – very fine,,,,,,,,,,,,,,,
1855-09-16,29.716,29.66,29.65,58.4,67.88,66.85,29.638,29.554,29.547,29.58,52,65.5,54.85,57.45,,NA,NA,NA,,2,,2,West,1,,2,West,1,,1,West,West,1,South-West,1,South-West,1,50.9,65,55.1,49.8,59,54,334,420,404,86,68,93,,,,,Beautiful weather,,,,,,,,,,,,,,,
1855-09-17,29.6,29.6,29.61,65,65.94,69.5,29.503,29.5,29.511,29.505,59.95,63,56.5,59.48,,6 A.M.,10 A.M.,0.12,,10,,Empty,West,9,,2,West,10,,1,West,West,1,West,2,0,Empty,59.7,62,55.8,59.7,61.8,55,512,543,423,100,96,95,,,,,Aurora,,,,,,,,,,,,,,,
1855-09-18,29.359,29.318,29.452,64,65.6,65.9,29.266,29.22,29.355,29.28,64,52.4,43.35,52.25,,10 A.M.,8 P.M.,0.25,,5,,3,West,10,,4,North,3,,2,North-West,West,3,North,2,North-West,2,63.9,52.2,43.35,61.5,52,39,515,385,182,87,98,65,,,,,Rain most of that day – sky clear 10P.M. + Aurora,,,,,,,,,,,,,,,
1855-09-19,29.527,29.58,29.74,55.2,53.15,64,29.459,29.518,29.645,29.541,40.15,49.95,45,45.03,,NA,NA,NA,,1,,Empty,Empty,1,,3,North-North-West,0,,Empty,Empty,North-West,3,North-West,3,North-West,2,40,49.65,44.35,35.5,42.5,37.05,150,178,126,60,50,43,,,,,A fine day      Aurora,,,,,,,,,,,,,,,
1855-09-20,29.8,29.747,29.66,53,65.2,64.15,29.738,29.649,29.568,29.651,41.6,50.1,49,46.8,,NA,NA,NA,,1,,2,North-West,1,,3,North-West,2,,3,West-North-West,North-West,2,North-West,3,West-North-West,3,41.2,49.9,48.9,38.5,42,46.42,199,163,234,76,45,67,,,,,Fine weather,,,,,,,,,,,,,,,
1855-09-21,29.62,29.6,29.688,59.1,61.2,68,29.54,29.514,29.589,29.545,50,60,49,53,,NA,NA,NA,,4,,2,West,1,,2,North-North-East,7,,Empty,Empty,West,3,West,2,West,2,49.5,59.5,48.45,43.1,50.35,45,192,244,253,54,48,74,,,,,"Fine, but cool",,,,,,,,,,,,,,,
1855-09-22,29.86,29.8,29.85,58.6,60.24,65.95,29.781,29.701,29.745,29.744,44.25,52,42.3,46.18,,NA,NA,NA,,8,,2,East,4,,2 | 3,East West-North-West,0,,Empty,Empty,East,2,South-East,3,South-East,2,44,51.3,42.3,40,44,38,196,192,173,68,51,63,,,,,Prospect of rain in [illegible] but clear at [illegible],,,,,,,,,,,,,,,
1855-09-23,29.8,29.928,29.97,54,68.6,69.8,29.835,29.821,29.859,29.838,32.5,53.9,46,45.8,,NA,NA,NA,,2,,4,North-East,0,,Empty,Empty,0,,Empty,Empty,West,1,North-East,2,0,Empty,36.5,51.6,46,30.3,46,42.3,99,239,223,46,63,71,,,,,Just a few fleeing clouds from the east at 9 P.M. but end is pleasant,,,,,,,,,,,,,,,
1855-09-24,29.97,29.844,29.91,56,63.5,68,29.899,29.75,29.803,29.814,38,59,47,48,,NA,NA,NA,,0,,Empty,Empty,0,,Empty,Empty,0,,Empty,Empty,0,Empty,North-East,3,North-East,2,38.05,58.7,47.15,37,48.15,45,208,196,270,91,40,83,,,,,A fine day – very clear and yet wind N.E. not a cloud,,,,,,,,,,,,,,,
1855-09-25,29.78,29.72,29.71,58.15,64.7,69,29.703,29.623,29.601,29.642,44.6,60.5,49.2,51.43,,NA,NA,NA,,3,,2,North,0,,Empty,Empty,0,,Empty,Empty,West,1,North-East,1,0,Empty,43.2,60,49.8,41,50,43,228,229,188,81,44,52,,,,,"Remarkably clear, and yet a gentle breeze from N.E. most of the day",,,,,,,,,,,,,,,
1855-09-26,29.65,29.59,29.59,57.1,57.5,71.5,29.576,29.515,29.473,29.521,40.8,62.2,48,50.33,,NA,NA,NA,,0,,Empty,Empty,0,,Empty,Empty,0,,Empty,Empty,South-West,1,0,Empty,0,Empty,40.3,61.9,49,39,51.75,45,221,251,247,89,45,71,,,,,Delightful weather – clear – full moon + fine evening,,,,,,,,,,,,,,,
1855-09-27,29.5,29.44,29.43,58,65.3,63.5,29.424,29.342,29.338,29.368,43.5,64.8,55.8,54.7,,NA,NA,NA,,0,,Empty,Empty,4,,2,West-South-West,5,,2,West-South-West,0,Empty,North-East,1,South,3,43,64.1,55.4,41.5,59,53.1,242,432,372,87,73,85,,,,,Smoky – prospect of [illegible],,,,,,,,,,,,,,,
1855-09-28,29.32,29.34,29.59,65.5,61.25,60.9,29.222,29.254,29.505,29.327,58.6,55.8,48.4,54.27,,12 1/4 A.M.,5 A.M.,0.8,,5,,3,West,8,,4,North,9,,4,North,West,2,North-West,3,North-West,3,59,55.5,48,57.1,53.2,46.7,440,375,302,88,85,90,,,,,Appearance of showers all day – a little rain about 6 P.M. - near an inch during that day,,,,,,,,,,,,,,,
1855-09-29,29.736,29.845,29.9,59.85,69.6,64.1,29.654,29.733,29.805,29.721,48,54.9,45,49.3,,NA,NA,NA,,5,,3,North,5,,3,North,1,,3,North-West,North-West,5,North-West,3,North-West,1,47.5,54.2,45,42.8,49,43,240,279,251,79,66,84,,,,,NA,,,,,,,,,,,,,,,
1855-09-30,29.845,29.93,29.92,56.5,67.1,70,29.872,29.825,29.807,29.825,46,56,47,Illegible,,NA,NA,NA,,8,,4,North-East,0,,Empty,Empty,0,,Empty,Empty,NA,Empty,North,2,0,Empty,45.6,56.4,47,43.7,49.5,45,260,267,273,85,59,85,,,,,Delightful Weather,,,,,,,,,,,,,,,
1855-10-01,29.89,29.86,29.876,56.9,68,67.2,29.816,29.753,29.771,29.78,45.2,63,49,52.4,,NA,NA,NA,,3,,2,West,2,,2,West,4,,2,West,0,Empty,South,2,0,Empty,45,61.2,49.1,43,55,46.6,251,351,298,84,65,89,,,,,Fine weather – maybe some appearance of storm,,,,,,,,,,,,,,,
1855-10-02,29.82,29.77,29.76,59.4,64.9,67,29.739,29.673,29.656,29.688,50.3,58.2,53.1,53.87,,NA,NA,NA,,9,,4,South-South-East,9,,3,South-South-East,4,,4,South,South-East,2,South-East,3,South-East,2,50,57.4,53,47.5,52.5,50.5,296,330,334,82,70,83,,,,,Signs of storm during the day – mostly clear at 9 P.M.,,,,,,,,,,,,,,,
1855-10-03,29.758,29.63,29.62,60.1,63.5,64.7,29.675,29.527,29.524,29.579,53.2,64,59.8,59,,NA,NA,NA,,4,,5,South,5,,5,South-East,7,,4,South-East,South-South-East,3,South-East,4,South-East,2,53,63.3,59.7,50,60,58.5,321,474,475,80,82,92,,,,,Unsettled weather – wind S.E. with a bitter mist,,,,,,,,,,,,,,,
1855-10-04,29.58,29.5,29.433,64,66.9,70.9,29.486,29.398,29.219,29.401,60.5,69.7,63,64.4,,7 1/2 P.M.,10 P.M.,0.08,,7,,4,South-East,10,,4,South-East,10,,5,South-East,South-East,4,South-East,4,South-East,5,60.15,68,62.8,59.9,65.5,61.5,513,595,529,98,87,93,,,,,"rain in morning, but stars out at 11 P.M. and aurora brilliantly streaming to zenith",,,,,,,,,,,,,,,
1855-10-05,29.49,29.362,29.514,65.45,63.1,66.15,29.392,29.271,29.414,29.359,59,59.8,56,58.27,,9 A.M.,4 P.M.,0.5,,2,,5 | 1,South South-East,10,,5,South-East,3,,5,North-West,South-East,2,South-East,2,North-West,3,58.2,59.6,55.8,57.9,58.1,59.8,477,464,417,98,91,94,,,,,"Raining, but at 4PM wind veered from S.E. by W to N.W.",,,,,,,,,,,,,,,
1855-10-06,29.61,29.605,29.6,63,68.1,68.3,29.519,29.499,29.493,29.504,54.05,71.1,60.3,61.82,,NA,NA,NA,,3,,2 | 3,North West,2,,2 | 4,South-West North-West,2,,1,North-West,0,Empty,South-West,1,South-West,4,53.5,70.7,60.2,53,65,58,396,540,452,96,72,86,,,,,Very warm and fine,,,,,,,,,,,,,,,
1855-10-07,29.42,29.4,29.5,66.8,68.4,64,29.218,29.293,29.406,29.329,68,66,48.1,61.03,,8 A.M.,11 A.M.,0.1,,8,,6,South-West,4,,5,South-West,0,,Empty,Empty,South-West,4,South-West,3,North-West,1,67.8,65.4,49,65,62,47,584,510,297,87,82,85,,,,,Showers in morning with high wind – becomes fine in P.M.,,,,,,,,,,,,,,,
1855-10-08,29.62,29.632,29.698,58.5,63.7,66.1,29.548,29.529,29.597,29.559,41,56.3,47.15,46.48,,NA,NA,NA,,0,,Empty,Empty,2,,3,South-West,0,,Empty,Empty,0,Empty,0,Empty,0,Empty,41.1,55.5,43.1,38.9,48.95,40.8,209,248,225,80,56,81,,,,,Far Norwest west wind gradually prevailing against S.W. and bringing fair weather,,,,,,,,,,,,,,,
1855-10-09,29.74,29.74,29.79,56.5,62.2,70.1,29.668,29.651,29.677,29.665,42.15,56,48.1,48.75,,NA,NA,NA,,2,,3,South-West,2,,2,South-West,1,,2,West,0,Empty,0,Empty,0,Empty,42.1,55,48.1,41,49.5,44.15,244,281,238,91,65,70,,,,,A fair day    Aurora,,,,,,,,,,,,,,,
1855-10-10,29.8,29.81,29.851,56,66,71.8,29.729,29.712,29.723,29.725,45.4,60.7,52.15,53.08,,4 P.M.,11 P.M.,0.2,,5,,2,West,5,,3,West,10,,2,West,0,Empty,West,1,West,1,45.5,60,53.6,43.5,55.25,52.5,256,374,381,84,72,92,,,,,Showers in afternoon,,,,,,,,,,,,,,,
1855-10-11,29.86,29.855,29.855,60.5,66,70.1,29.775,29.75,29.742,29.756,50.3,58.2,49,52.5,,NA,NA,NA,,3,,2,South-South-West,3,,3,South,1,,Empty,South,0,Empty,North-East,2,South,2,50,57.5,49,49.9,54.1,47.7,360,374,314,99,80,90,,,,,Thick fog in morning - fine day - Aurora,,,,,,,,,,,,,,,
1855-10-12,29.84,29.83,29.822,58,70.8,68,29.763,29.715,29.715,29.731,46,56,54.1,52.03,,NA,NA,NA,,5,,4,South-East,10,,4,South-East,10,,4,South-East,South-East,2,South-East,4,South-East,3,45.7,55.3,54,43.5,52,52.5,254,345,376,83,79,90,,,,,Prospect of storm,,,,,,,,,,,,,,,
1855-10-13,29.81,29.79,29.79,60.5,64,71.2,29.726,29.695,29.674,29.698,56,57.85,54.5,56.12,,8 P.M.,Empty,Empty,,10,,6,South-East,10,,6,South-East,10,,6,South-East,South-East,5,South-East,5,South-East,5,56,57,54.1,54.1,55.1,53.3,391,408,397,87,87,94,,,,,high wind with mist most of afternoon – raining at 9 P.M.,,,,,,,,,,,,,,,
1855-10-14,29.73,29.7,29.66,61,73,69.7,29.644,29.579,29.549,29.591,57,61.8,54.2,57.67,,Empty,9 P.M.,1.4,,10,,6,South-East,10,,6,South-East,10,,4,West-South-West,South-East,4,South-East,4,West,2,57,62,54.5,56.4,60.8,53.8,461,518,406,99,93,95,,,,,rainy day – at 5P.M. a S.E. gale with heavy showers and thunder – wind gusts W at 8PM,,,,,,,,,,,,,,,
1855-10-15,29.63,29.56,29.67,61,60.5,66.1,29.545,29.476,29.569,29.53,49.2,60.1,47.1,52.13,,NA,NA,NA,,3,,4,South-South-West,1,,3,South-West,0,,Empty,Empty,South,1,South-West,3,West,2,48.8,53.8,47.1,48,52.1,44.2,325,288,252,94,56,78,,,,,Showers in morning – but fine rest of the day,,,,,,,,,,,,,,,
1855-10-16,29.66,29.635,29.64,56,67,71.1,29.589,29.532,29.525,29.549,43,59,50,50.67,,9 1/2 P.M.,10 1/2 P.M.,0.015,,4,,3,South-West,1,,2,South-West,6,,3,West,0,Empty,West,1,West,2,43.5,58.1,50.2,41.5,50.9,48,236,278,306,83,57,84,,,,,Delightful day | shower at 9 1/2 P.M.,,,,,,,,,,,,,,,
1855-10-17,29.632,29.62,29.62,58.4,60.2,56.1,29.554,29.537,29.549,29.547,46.1,50.6,44,46.9,,NA,NA,NA,,3,,4,North-West,2,,2,West,4,,2,North-West,North-West,1,North-West,2,North-West,1,46,49.9,44,43,44,41.3,238,231,225,77,64,78,,,,,Fine day,,,,,,,,,,,,,,,
1855-10-18,29.62,29.58,29.595,52.5,62.4,67.3,29.56,29.491,29.491,29.514,40,48,46.1,44.7,,NA,NA,NA,,4,,2,North-West,6,,3,West,7,,3,West,South-West,2,South-West,3,West,3,39.7,47.5,46,37,42,42,185,195,215,75,59,69,,,,,Fine Day – but some signs of rain – Aurora,,,,,,,,,,,,,,,
1855-10-19,29.66,29.74,29.85,54,66.3,70,29.595,29.638,29.737,29.657,42,52,38,44,,NA,NA,NA,,1,,2,North-West,0,,Empty,Empty,0,,Empty,Empty,North-West,2,West,2,0,Empty,41.5,51.95,38.2,38,43.1,35.6,184,162,175,70,42,76,,,,,Delightful day.,,,,,,,,,,,,,,,
1855-10-20,29.85,29.82,29.84,53,61.8,66.2,29.788,29.732,29.74,29.755,39,64.7,56,53.23,,NA,NA,NA,,0,,Empty,Empty,0,,Empty,Empty,0,,Empty,Empty,0,Empty,South-West,3,0,Empty,38.8,64.1,56,36.9,56,54,195,342,391,83,57,87,,,,,Smoky indian summers [illegible],,,,,,,,,,,,,,,
1855-10-21,29.79,29.7,29.62,60.9,67.7,69.85,29.704,29.594,29.508,29.602,55,61,62.1,59.37,,10 A.M.,Empty,Empty,,8,,3,South-South-West,10,,5,South-East,10,,4,South,0,Empty,South-East,2,South-East,3,55,61.2,62.55,54.1,61,61.6,408,534,535,95,99,94,,,,,Rainy day,,,,,,,,,,,,,,,
1855-10-22,29.48,29.451,29.53,65,67.4,68,29.283,29.347,29.424,29.385,60.6,70,58.4,63,,Empty,6 A.M.,0.6,,3,,2,South-West,5,,3,West,5,,3,South-West,South,2,West,3,0,Empty,60.6,69.5,58.1,60,65,57.65,510,557,470,96,77,97,,,,,NA,,,,,,,,,,,,,,,
1855-10-23,29.525,29.43,29.56,64.2,64,63,29.434,29.336,29.469,29.413,57.7,60.96,49.6,56.09,,Empty,Empty,0.25,,10,,4,South-South-West,10,,4,South-South-West,10,,Empty,West,South-East,1,0,Empty,West,1,57.6,60.45,49.15,57,59.9,49,458,510,346,96,97,99,,,,,commenced raining after 1 A.M. – showers most of A.M. – mist at 9 P.M.,,,,,,,,,,,,,,,
1855-10-24,29.69,29.67,29.59,59,56.12,67.7,29.61,29.599,29.485,29.565,44.95,54,50,49.65,,5 P.M.,12 .M,0.25,,2,,2,North-West,5,,4,East-South-East,10,,4,South-East,North-West,1,East-South-East,3,South-East,3,44.5,53.6,50,43.8,49,49.35,277,289,343,94,71,95,,,,,Unsettled – rains fast during evening,,,,,,,,,,,,,,,
1855-10-25,29.43,29.35,29.426,61,65,72.3,29.345,29.254,29.308,29.302,62.05,66,51.9,59.98,,9 A.M.,11 P.M.,0.4,,4,,3,South-West,10,,5,South-West,10,,5,South-West,South-West,3,South-West,4,South-West,3,62.15,65.5,52,61.35,63,50,532,542,334,95,87,86,,,,,Rainy day,,,,,,,,,,,,,,,
1855-10-26,29.49,29.605,29.7,55.1,57.7,66,29.422,29.529,29.6,29.517,42.2,43,38,41.07,,NA,NA,NA,,3,,4,West-South-West,9,,3,West-South-West,0,,Empty,Empty,West-South-West,3,West,4,West,2,42.05,42.3,37.8,38.05,41.1,34.25,177,241,153,66,89,67,,,,,"Cooler, but fine",,,,,,,,,,,,,,,
1855-10-27,29.66,29.45,29.3,50.5,57,60,29.606,29.377,29.218,29.4,44.5,49.6,33.4,42.5,,10 1/2 A.M.,Empty,0.1,,2,,4,West-South-West,10,,4,South-West,Empty,,Empty,Empty,West-South-West,2,South-West,3,Empty,Empty,44,49.4,33.2,41,44.8,32.1,218,237,167,76,67,88,,,,,Showers,,,,,,,,,,,,,,,
1855-10-28,29.15,29.15,29.1,57.2,67.5,67.7,29.077,29.047,28.997,29.04,45.5,48.5,42.8,45.6,,NA,NA,NA,,1,,5,West,1,,4,West,2,,1,West,West,2,West,2,West,1,45,47.7,42.5,43.5,42,39.2,263,193,197,88,58,72,,,,,One or two light showers – weather not settled,,,,,,,,,,,,,,,
1855-10-29,29.2,29.272,29.57,51.2,61,55,29.144,29.287,29.502,29.311,40,41,35.8,38.93,,NA,NA,NA,,7,,3,North-North-West,3,,3,North-West,0,,Empty,Empty,North-West,3,North-West,3,North-West,2,38.5,40.3,35.6,35,35,31.1,158,135,120,68,54,57,,,,,NA,,,,,,,,,,,,,,,
1855-10-30,29.56,29.43,29.56,47.6,58,68.2,29.514,29.354,29.454,29.441,36.4,52.2,49,45.87,,2 P.M.,7 P.M.,0.1,,1,,2,North-West,10,,5,South-West,4,,2,West,South-West,3,South-West,4,West,2,36,52.1,48.8,32.1,49,47,129,158,303,61,41,89,,,,,Showers in P.M. - Unsettled,,,,,,,,,,,,,,,
1855-10-31,29.8,29.9,30.1,51,65,67.5,29.744,29.807,29.994,29.847,37.7,44,33.2,38.3,,NA,NA,NA,,0,,Empty,Empty,0,,Empty,Empty,0,,Empty,Empty,West,2,North-West,2,0,Empty,37.7,42.8,33,32.1,37.5,31.8,167,143,163,88,50,87,,,,,Fine Day,,,,,,,,,,,,,,,
1855-11-01,29.951,29.87,29.772,55,64.1,69.8,29.883,29.775,29.66,29.773,32.6,53.8,55.1,47.17,,8 1/2 pm,Empty,Empty,,1,,2,West-South-West,9,,1,South,10,,3,South-West,North-West,1,South-West,2,South-West,4,32.4,53.4,55,30.6,48.1,53.6,0.149,0.266,0.393,82,65,91,,,,,"White frost in morn, noon is overcast - first rain 4 pm",,,,,,,,,,,,,,,
1855-11-02,29.68,29.67,29.67,60.8,68,64,29.595,29.564,29.576,29.578,52.8,44,44.9,47.23,,Empty,5 1/2 pm,1.1,,10,,3,South-East,10,,4,North-East,10,,4,North-East,South-East,2,North-East,3,North-East,5,52.7,43.9,44.5,52.4,42.5,41,0.39,0.254,0.211,98,89,72,,,,,Raining at 7 am - raining at 2 - not raining but windy at 9 pm.,,,,,,,,,,,,,,,
1855-11-03,29.787,29.86,29.91,51,62.8,68.1,29.731,29.769,29.803,29.768,40,42,40,40.67,,NA,NA,NA,,8,,3,North-East,8,,3,North-East,10,,4,South-East,North-East,3,North-East,3,South-East,3,39.5,41.4,39,35.5,37.1,35,0.156,0.166,0.152,63,63,63,,,,,Cloudy to day - wind NE but no rain.,,,,,,,,,,,,,,,
