Observation date,open_air_thermometer_7am,open_air_thermometer_2pm,open_air_thermometer_9pm,open_air_thermometer_mean,remarks_7am,remarks_2pm,remarks_9pm,daily_weather_remarks,type_precipitation,rain_and_melted_snow_hour_began,rain_and_melted_snow_hour_ended,rain_and_melted_snow_amount,depth_of_snow,cloud_amount_7am,kind_of_cloud_7am,cloud_velocity_7am,cloud_direction_7am,cloud_amount_2pm,kind_of_cloud_2pm,cloud_velocity_2pm,cloud_direction_2pm,cloud_amount_9pm,kind_cloud_9pm,cloud_velocity_9pm,course_higher_clouds_9pm,wind_direction_7am,wind_force_7am,wind_direction_2pm,wind_force_2pm,wind_direction_9pm,wind_force_9pm,barometer_7am,barometer_2pm,barometer_9pm_0,attached_thermometer_7am,attached_thermometer_2pm,attached_thermometer_9pm_0,barometer_corrected_7am,barometer_corrected_2pm,barometer_corrected_9pm,barometer_corrected_mean,dry_bulb_7am,dry_bulb_2pm,dry_bulb_9pm,wet_bulb_7am,wet_bulb_2pm,wet_bulb_9pm,force_of_vapor_7am,force_of_vapor_2pm,force_of_vapor_9pm,relative_humidity_7am,relative_humidity_2pm,relative_humidity_9pm,max_thermometer_obs,max_thermometer_cor,min_thermometer_obs,min_thermometer_cor,casual_phenomena,casual_phenomena_line_2,casual_phenomena_line_3,casual_phenomena_line_4,casual_phenomena_line_5
1861-02-01,18,26,20,22,cloudy,clear,cloudy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-East,Empty,North-West,None,North-West,None,28.2,28.5,28.7,59,75,75,28.13,28.39,28.59,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-02,0,5,3,2.6,cloudy,cloudy,cloudy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,None,North-West,None,North-West,None,29,29,29,58,71,75,28.93,28.89,28.88,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-03,5,8,3,5.3,cloudy,snow,snow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East,None,East,None,East,None,28.5,28.4,28.5,56,68,63,28.43,28.3,28.42,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-04,-2,-5,10,1,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,None,North-West,None,North-West,None,28.9,28.9,28.9,56,78,67,28.83,28.78,28.8,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-05,-3,-3,3,-1,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,None,North-West,None,North-West,None,28.7,29,28.75,68,70,66,28.6,28.9,28.76,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-06,5,13,15,11,cloudy,cloudy,cloudy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,None,North-West,None,South,None,28.75,28.7,28.4,68,67,60,28.65,28.6,28.32,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-07,-5,11,5,7,clear,cloudy,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,None,North-West,None,North-West,None,28.15,28.25,28,56,60,72,28.09,28.18,27.9,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-08,7,5,-20,-2.6,snow,snow,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-East,None,North,None,North-West,None,28.5,28.15,28.4,62,60,70,28.42,28.08,28.3,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-09,-15,-5,-8,-9.3,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,None,North-West,None,North-West,None,28.5,29,29.03,55,74,70,28.43,27.89,27.95,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aur Borealis N to E,,,,
1861-02-10,-5,8,7,3.3,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,None,North-West,None,North-West,None,28.9,28,27.9,70,75,79,27.8,27.89,27.78,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aur Borealis very bright all over,,,,
1861-02-11,8,15,8,10.3,cloudy,cloudy,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,None,North-West,None,North-West,None,28.05,28.1,28.25,68,80,70,27.96,27.98,28.18,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aur. Borealis very bright all over,,,,
1861-02-12,12,20,18,16.6,snow,cloudy,snow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East,0,East,0,North-East,0,28.9,28.91,28.65,58,70,68,27.83,27.8,27.55,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-13,32,36,30,32.6,snow + rain,rain,snow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North,0,North-East,5,North-East,None,28.05,28,27.75,60,70,70,27.98,27.9,27.65,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-14,27,15,10,17.3,snow+rain,cloudy,snow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,North-East,North-West,5,North,5,North,0,28.25,28.6,28.75,60,70,75,28.18,28.5,28.64,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aur. Borealis N to E low,,,,
1861-02-15,0,8,-2,2,snow+rain,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,None,North-West,0,North-West,0,28.95,28.95,29.05,60,70,69,28.88,28.85,28.95,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aur Borealis N to E low,,,,
1861-02-16,-9,0,-4,-4.3,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,None,North-West,0,North-West,0,29.05,29,28.95,58,66,65,28.98,28.91,28.86,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aur Borealis very bright all over,,,,
1861-02-17,-5,15,8,6,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,None,North-East,0,North-East,0,28.95,28.9,28.8,60,68,58,28.88,28.8,28.73,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-18,12,13,13,12.6,snow,snow,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East,,East,5,North-West,None,28.4,28.4,28.4,65,70,69,28.31,28.3,28.3,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aur Borealis N to E,,,,
1861-02-19,-4,15,-8,1,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,None,North-West,None,North,None,28.6,28.65,28.7,60,63,76,28.53,28.57,28.58,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-20,0,20,3,7.6,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,North-West,,North-West,,28.6,28.5,28.2,65,76,79,28.61,28.38,28.08,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-21,0,19,20,13,cloudy,cloudy,snow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East,None,East,None,East,None,28.4,28.4,28.4,45,70,70,28.36,28.3,28.3,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-22,23,39,23,28.3,cloudy,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,,North-West,,North,,27.9,28.05,28.25,43,73,78,27.87,27.94,28.13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-23,18,20,10,16,cloudy,snow,cloudy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,None,North-West,None,North-West,None,28.4,28.35,28.3,56,68,79,28.33,28.25,28.18,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-24,-3,10,10,5.6,clear,clear,cloudy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,None,North-West,None,North-West,None,28.15,28.25,28.3,57,70,70,28.08,28.15,28.2,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-25,4,-2,-3,-3,snow,snow,snow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,5,North-West,5,North-West,5,28.1,28.1,28.25,50,70,70,28.05,28,28.15,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-26,-1,6,-2,Illegible,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,5,North-West,5,North-West,5,28.5,28.75,28.8,56,70,76,28.43,28.65,28.68,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-02-27,-3,15,5,5.6,cloudy,cloudy,cloudy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,0,North-West,5,North-West,5,28.8,28.95,28.9,43,70,70,28.77,28.85,28.7,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aur Borealis very bright all over,Empty,,,
1861-02-28,-3,14,0,3.6,clear,clear,clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,0,North-West,0,North-West,0,28.8,28.75,28.75,58,70,70,28.73,28.67,28.65,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aur Boraelis very bright all over,,,,
1861-03-01,-9,15,0,2,clear,clear,clear,NA,NA,NA,NA,NA,NA,None,None,None,North-West,,NA,,North-West,None,None,None,North-West,North-West,0,North-West,0,North-West,0,28.75,28.7,28.7,60,77,78,28.67,28.58,28.57,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Halo round the sun,Aur Borealis very bright + all over,,,
1861-03-02,-2,27,20,15,cloudy,clear,clear,NA,NA,NA,NA,NA,NA,None,None,None,North-West,NA,NA,NA,NA,None,None,None,North-West,North-West,0,North-West,0,North-West,0,28.65,28.65,28.6,52,63,70,28.59,28.56,28.59,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Halo round the sun,The Aur Borealis from SE to NW,,,
1861-03-03,27,35,25,29,cloudy,cloudy,cloudy,NA,NA,NA,NA,NA,NA,None,None,None,North-West,,None,,North-West,NA,NA,NA,NA,North-West,0,North-West,0,North-West,0,28.4,28.35,28.35,60,75,70,28.32,28.23,28.24,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-03-04,22,27,26,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,North,None,None,None,East,NA,NA,NA,NA,North,0,South-East,0,South-East,0,28.15,28,28,60,65,75,28.07,27.91,27.88,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-03-05,24,25,22,23.6,snow,cloudy,clear,NA,snow,4:00 AM,8:00 AM,,,None,None,None,North,None,None,None,North,NA,NA,NA,NA,North-West,4,North-West,4,North-West,4,28.15,28.15,28.2,54,70,66,28.08,28.04,28.1,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aur. Borealis E but low,,,,
1861-03-06,0,3,-16,-4.3,cloudy,clear,clear,NA,NA,NA,NA,NA,NA,None,None,None,North-West,NA,NA,NA,NA,NA,NA,NA,NA,North-West,4,North-West,4,North-West,0,28.2,28.4,28.45,60,75,75,28.14,28.28,28.33,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Aur Bor E to W at 12pm,,,,
