Observation date,open_air_thermometer_7am,open_air_thermometer_2pm,open_air_thermometer_9pm,open_air_thermometer_mean,remarks_7am,remarks_2pm,remarks_9pm,daily_weather_remarks,type_precipitation,rain_and_melted_snow_hour_began,rain_and_melted_snow_hour_ended,rain_and_melted_snow_amount,depth_of_snow,cloud_amount_7am,kind_of_cloud_7am,cloud_velocity_7am,cloud_direction_7am,cloud_amount_2pm,kind_of_cloud_2pm,cloud_velocity_2pm,cloud_direction_2pm,cloud_amount_9pm,kind_cloud_9pm,cloud_velocity_9pm,course_higher_clouds_9pm,wind_direction_7am,wind_force_7am,wind_direction_2pm,wind_force_2pm,wind_direction_9pm,wind_force_9pm,transcriber_comments,barometer_7am,barometer_2pm,barometer_9pm,attached_thermometer_7am,attached_thermometer_2pm,attached_thermometer_9pm_0,barometer_corrected_7am,barometer_corrected_2pm,barometer_corrected_9pm,barometer_corrected_mean,dry_bulb_7am,dry_bulb_2pm,dry_bulb_9pm,wet_bulb_7am,wet_bulb_2pm,wet_bulb_9pm,force_of_vapor_7am,force_of_vapor_2pm,force_of_vapor_9pm,relative_humidity_7am,relative_humidity_2pm,relative_humidity_9pm,transcriber_comments,max_thermometer_obs,max_thermometer_cor,min_thermometer_obs,min_thermometer_cor,casual_phenomena,casual_phenomena_line_2,casual_phenomena_line_3,casual_phenomena_line_4,casual_phenomena_line_5,transcriber_comments
1863-02-20,31,35,20,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,-,North-West,2,North-West,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Empty,None,None,None,None,,,
1863-02-21,42,38,28,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South-East,3,South-East,1,South-East,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fine but dull morning - blowing - night and evening fine,,,,,,,
1863-02-22,16,15,10,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,4,North,4,North,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very fine morning - drifting and blowing very cold. 4° below zero night,,,,,,,
1863-02-23,3,10,7,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West,3,0,-,0,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very fine day - light wind - Splendid evening - moonlight - 6° below zero night,None,None,None,None,,,
1863-02-24,11,26,22,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North,3,North-West,4,North-West,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very fine all day blew hard - night moonlight,None,None,None,None,,,
1863-02-25,29,36,24,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West,4,West-South-West,4,South-West,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very soft day. Blowing,None,None,None,None,,,
1863-02-26,26,43,33,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North,-,West,2,West,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very fine all day. Light wind. Beautiful night - moonlight and warm,None,None,None,None,,,
1863-02-27,33,34,27,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-,0,-,0,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very fine morning,None,None,None,None,,,
1863-02-28,20,20,7,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,Stratus,0,0,10,Stratus,0,0,8,Nimbus,0,0,North,4,North,4,North,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drifting and blowing and snowing hard all day. Night fine moonlight,None,None,None,None,,,
1863-08-01,63,66,65,,NA,NA,NA,NA,rain,None,None,0.3,None,10,Stratus,0,0,8,Nimbus,0,0,6,Cumulus,0,0,0,-,West,3,West,3,29.8,29.8,29.8,68,69,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cold and foggy. Blew hard Evening - Thick fog. Raining hard forenoon,.,,,,,,
1863-08-02,58,69,56,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,Cumulus,2,South-South-East,7,Cirrus,3,South-South-East,8,Nimbus,0,0,South-South-East,3,South-South-East,3,0,-,29.82,29.8,29.8,65,66,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Foggy - -cold and blowing,None,None,None,None,,,
1863-08-03,70,70,63,,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Cumulus,4,West,9,Cirrus,3,West,NA,NA,NA,NA,West,3,West,3,Empty,Empty,29.6,29.5,29.5,71,76,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sultry morning. Showery. Very warm,,,,,,,
1863-08-04,62,65,54,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Cumulus,4,West,NA,NA,NA,NA,NA,NA,NA,NA,North,4,North-West,4,North-West,-,29.5,29.5,29.5,59,70,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blew hard - Cool - cloudy,None,None,None,None,,,
1863-08-05,69,69,53,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,Empty,North-West,Empty,29.5,29.56,29.7,72,76,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blew very hard - night calm and cool,None,None,None,None,,,
1863-08-06,64,69,52,None,NA,NA,NA,NA,None,None,None,1.9,None,8,Cirrus,5,West,10,Stratus,0,0,10,Stratus,0,0,North-West,3,North-West,3,0,-,29.7,29.7,29.7,66,71,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very fine - blowing - cool - Raining hard night,None,None,None,None,,,
1863-08-07,62,67,51,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Cirrus,3,West,NA,NA,NA,NA,NA,NA,NA,NA,North,4,North,3,North,2,29.5,29.5,29.52,70,76,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very fine - dull and cloudy,None,None,None,None,,,
1863-08-08,62,58,50,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East,2,East,3,East,3,29.8,29.9,29.9,63,68,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fine all day - light wind - Cool,None,None,None,None,,,
1863-08-09,52,54,52,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South-East,3,South-East,4,South-East,Empty,29.8,29.8,29.75,52,56,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blowing hard Evening. Very fine.,None,None,None,None,,,
1863-08-10,56,59,54,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,Empty,Empty,Empty,29.5,29.5,29.5,58,62,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Foggy and blowing,None,None,None,None,,,
1863-08-11,64,68,62,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,5,North-West,3,North-West,-,29.5,29.5,29.55,69,71,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blowing hard morning - Very warm and fine,None,None,None,None,,,
1863-08-12,58,62,57,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West,2,West,2,-,-,29.7,29.73,29.7,60,66,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fine and warm all day,None,None,None,None,,,
1863-08-13,66,68,64,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,2,South-West,1,0,-,29.7,29.7,29.7,67,72,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Light wind - fine and warm,None,None,None,None,,,
1863-08-14,56,64,59,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-East,2,Empty,Empty,Empty,Empty,29.9,29.9,29.8,67,73,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cool - fine,None,None,None,None,,,
1863-08-15,64,69,59,None,NA,NA,NA,NA,None,None,None,1.7,None,7,Cirrus,Empty,North-West,10,Stratus,0,0,8,Nimbus,0,0,North-North-West,5,North-North-West,5,North-West,3,29.6,29.57,29.5,67,70,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blowing very hard - Thunder and lightning with heavy rain - Very foggy,None,None,None,None,,,
1863-08-16,56,62,58,Empty,NA,NA,NA,NA,None,None,None,0.2,None,6,Cirrus,4,North-West,7,Cirrus,2,West,7,Nimbus,0,0,West-South-West,4,West-South-West,4,South-West,1,29.49,29.5,29.55,63,68,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blew very hard - Showery evening - Light dulll - Calm,,,,,,,
1863-08-17,54,62,61,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Cirrus,3,North-West,6,Cirrus,3,North-West,7,Cumulus,0,0,North-West,3,North-West,4,North-West,2,29.7,29.8,29.8,61,70,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blew hard evening.  Very fine,None,None,None,None,,,
1863-08-18,56,53,52,None,NA,NA,NA,NA,None,None,None,1.2,None,10,Stratus,0,0,10,Stratus,0,0,10,Cirro-stratus,0,0,South-East,2,South-East,4,South-East,5,29.8,29.7,29.7,63,59,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fog and heavy rain morning - Night blew hard,None,None,None,None,,,
1863-08-19,47,52,50,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Cirrus,3,North-East,NA,NA,NA,NA,NA,NA,NA,NA,North-East,3,Empty,Empty,West,-,29.7,29.7,29.65,59,61,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very dull - Cool all day,None,None,None,None,,,
1863-08-20,54,62,50,None,NA,NA,NA,NA,None,None,None,1.1,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South-West,4,West,4,West,3,29.4,29.42,29.5,60,65,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raining and heavy wind - cloudy - Night dull,None,None,None,None,,,
1863-08-21,54,63,56,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,2,North-West,3,-,-,29.8,29.81,29.9,63,73,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very fine - warm - light wind,None,None,None,None,,,
1863-08-22,61,68,64,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Cirrus,0,0,7,Cirrus,0,West-South-West,8,Cirrus,0,0,0,-,0,-,-,-,29.91,29.91,29.85,66,71,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fine - light wind,None,None,None,None,,,
1863-08-23,70,72,68,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Illegible,4,West-South-West,5,Cirrus,4,West,7,Nimbus,0,0,West-South-West,5,West-South-West,6,West-South-West,3,29.79,29.8,29.8,74,78,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Warm day and night - blew a gale - Morning and Afternoon,None,None,None,None,,,
1863-08-24,56,62,60,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,3,North-West,2,North-West,2,29.9,29.99,29.95,64,77,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very fine Morning - light wind,None,None,None,None,,,
1863-08-25,66,74,69,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,5,North-West,5,Empty,Empty,29.9,29.9,29.9,70,78,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blowing hard,None,None,None,None,,,
1863-08-26,68,73,70,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North-West,3,North-West,3,North-West,3,29.9,29.9,29.9,73,79,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,empty,,,,,,,
1863-08-27,70,76,68,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South-West,4,Empty,Empty,Empty,Empty,29.8,29.8,29.8,75,79,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Empty,,,,,,,
1863-08-28,58,62,56,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-,0,-,0,-,29.75,29.75,29.8,62,67,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fog - Dull hazy in the afternoon - Very fine,None,None,None,None,,,
1863-08-29,64,71,63,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Cirrus,2,West,6,Cirrus,3,West,8,Nimbus,0,0,South-West,3,South-West,2,South-West,1,29.9,29.9,29.9,65,75,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fine - dull - light wind,None,None,None,None,,,
1863-08-30,60,72,61,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Cumulus,-,-,6,Cirrus,-,-,9,Nimbus,0,-,West,2,South-West,3,South-West,3,29.9,29.9,29.9,69,77,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fine - warm - light wind,None,None,None,None,,,
1863-08-31,74,76,68,None,NA,NA,NA,NA,None,None,None,0.1,None,5,Cirrus,2,West,-,-,-,-,-,-,-,-,South-West,2,South-West,2,South-West,1,29.99,29.9,29.9,77,81,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dull morning - Showery all day,None,None,None,None,,,
1863-09-01,72,78,69,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South-West,2,South-West,2,West-South-West,-,29.9,29.9,29.9,78,80,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sultry - light wind and fine all day,,,,,,,
1863-09-02,73,78,68,None,NA,NA,NA,NA,Rain,,,0.2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South-West,4,North-North-East,4,West,3,29.99,29.99,29.99,77,81,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very sultry - blew hard Evening - Showery at night,None,None,None,None,,,
1863-09-03,70,78,67,None,NA,NA,NA,NA,Rain,None,None,0.1,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South-West,3,South-West,3,Empty,Empty,29.9,29.9,29.9,74,81,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raining. Sultry,None,None,None,None,,,
1863-09-04,68,79,68,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South-West,3,Empty,Empty,Empty,Empty,29.8,29.8,29.8,72,81,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very fine,None,None,None,None,,,
